Round,Client1_Train_Acc,Client2_Train_Acc,Global_Train_Acc
1,0.5776776671409607,0.7512297630310059,0.6644530964545631
2,0.5890341401100159,0.8169530034065247,0.7029927593349493
3,0.6047393679618835,0.8137021660804749,0.709220022167296
4,0.6072273850440979,0.8262351155281067,0.7167304696267697
5,0.6087173223495483,0.8379054665565491,0.7233105775053396
6,0.6121107339859009,0.8053112030029297,0.7087102798258059
7,0.6255346536636353,0.8216012120246887,0.723567233959295
8,0.6262903213500977,0.8301418423652649,0.7282153552230918
9,0.6277803182601929,0.8495615720748901,0.7386701546219056
10,0.6324926018714905,0.8330077528953552,0.7327494626414198
11,0.6344031691551208,0.8370285630226135,0.735715143824843
12,0.6219345331192017,0.8205817341804504,0.7212574255661842
13,0.6150407791137695,0.8366150856018066,0.7258271425498217
14,0.6374614834785461,0.8594496250152588,0.7484547629638093
15,0.6213499307632446,0.8675268888473511,0.7444375323004747
16,0.6191257238388062,0.8550580739974976,0.7370910579305273
17,0.6534162163734436,0.8669850826263428,0.760199888227548
18,0.6321646571159363,0.8720681667327881,0.7521155567814259
19,0.6408620476722717,0.8761887550354004,0.7585245625250426
20,0.6362424492835999,0.8780851364135742,0.757162930793397
21,0.6545782685279846,0.8707064986228943,0.7626416131801685
22,0.6562535762786865,0.8634419441223145,0.7598470216716248
23,0.640669584274292,0.8703286647796631,0.7554983059006025
24,0.6569522023200989,0.8715548515319824,0.7642527619687465
25,0.6506358981132507,0.8685891628265381,0.7596117535692353
26,0.6573514342308044,0.8684465885162354,0.7628982589187919
27,0.6598822474479675,0.876587986946106,0.768234344743217
28,0.6617357730865479,0.8852498531341553,0.7734920163880068
29,0.6788881421089172,0.867890477180481,0.7733886359404585
30,0.6625270843505859,0.8694018721580505,0.7659637408432076
31,0.6628051400184631,0.8748271465301514,0.768815387515788
32,0.6651790738105774,0.8813930153846741,0.7732852738968338
33,0.6645018458366394,0.8848862648010254,0.7746932697522543
34,0.6610442399978638,0.8835887908935547,0.7723157221792789
35,0.6654642224311829,0.895045280456543,0.7802539330956012
