,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
precision,0.9709305532572122,0.79961078676675,0.9223077566730817,0.7851752021563342,0.8178233438485805,0.0,0.5352112676056338,0.8863224831401401,0.6901512729010847,0.890946057354778
recall,0.8448284137269019,0.939382062838853,0.9702050875803186,0.6847672778561354,0.7453996549741231,0.0,0.6333333333333333,0.8863224831401401,0.688273690044238,0.8863224831401401
f1-score,0.9035006672826199,0.8638793776656455,0.9456503088538092,0.7315419387242592,0.7799338146811071,0.0,0.5801526717557252,0.8863224831401401,0.6863798255661665,0.88553317501252
support,20835.0,15309.0,22722.0,4254.0,6956.0,1.0,60.0,0.8863224831401401,70137.0,70137.0
